Etykieta,# Liczba próbek,Średnia,Minimum,Maksimum,Odch. std.,% błędów,Przepustowość,KB/sek,Wysłano KB/sek,bitów średnio
Stress test:Strona główna,75,224,184,584,"58,44","0,000%","1,25274","500,67","0,31","409249,7"
Stress test:WOK,106,253,182,1007,"127,00","0,000%",",44461","128,09","0,17","295002,3"
Stress test:Patelnie,52,284,255,607,"50,62","0,000%",",85098","322,20","0,24","387714,4"
Stress test:Formularze,44,497,421,750,"67,57","0,000%",",42549","174,32","0,26","419517,6"
Stress test:Metody wysyłki,44,496,427,867,"82,26","0,000%",",37235","152,54","0,22","419507,8"
Stress test:Patelnie sortowanie,31,215,190,360,"32,39","0,000%",",52134","197,49","0,17","387908,3"
Stress test:Płatność,44,480,417,850,"93,62","0,000%",",34063","139,54","0,20","419504,2"
Stress test:Druga patelnia,31,332,290,662,"78,47","0,000%",",53497","140,10","0,21","268160,2"
Stress test:Trzecia patelnia,31,220,195,475,"49,89","0,000%",",55023","149,15","0,21","277573,8"
Stress test:Przyprawy,31,307,200,625,"63,33","0,000%",",55294","145,28","0,23","269053,9"
RAZEM,489,320,182,1007,"136,97","0,000%","1,96178","684,77","0,80","357431,5"
